state,practice_name,city,website,estimated_provider_count,qualification_status,primary_contact_path,linkedin_search_url,outreach_status,next_action,notes
TX,Deep Eddy Psychotherapy,Austin,https://deepeddypsychotherapy.com,10-20,needs_verification,https://deepeddypsychotherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Deep%20Eddy%20Psychotherapy,not_contacted,send_touch_1,Group practice fit likely strong
TX,Just Mind Counseling,Austin,https://justmind.org,8-18,needs_verification,https://justmind.org/contact,https://www.linkedin.com/search/results/people/?keywords=Just%20Mind%20Counseling,not_contacted,send_touch_1,Private pay + anxiety/depression focus
TX,Waterloo Counseling Center,Austin,https://waterloocounseling.org,8-20,needs_verification,https://waterloocounseling.org/contact,https://www.linkedin.com/search/results/people/?keywords=Waterloo%20Counseling%20Center,not_contacted,send_touch_1,Behavioral health demand + intake workflow complexity
TX,Eddins Counseling Group,Houston,https://eddinscounseling.com,10-25,needs_verification,https://eddinscounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Eddins%20Counseling%20Group,not_contacted,send_touch_1,Multi-clinician counseling group
TX,Counseling Center of Houston,Houston,https://counselingcenterofhouston.com,8-15,needs_verification,https://counselingcenterofhouston.com/contact,https://www.linkedin.com/search/results/people/?keywords=Counseling%20Center%20of%20Houston,not_contacted,send_touch_1,Family/adult counseling mix
TX,Houston DBT Center,Houston,https://houstondbtcenter.com,5-12,needs_verification,https://houstondbtcenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Houston%20DBT%20Center,not_contacted,send_touch_1,Specialty practice likely admin burden
TX,Dallas CBT,Dallas,https://dallascbt.com,6-15,needs_verification,https://dallascbt.com/contact,https://www.linkedin.com/search/results/people/?keywords=Dallas%20CBT,not_contacted,send_touch_1,Evidence-based therapy positioning
TX,Dallas Counseling and Treatment Center,Dallas,https://dallascounselingandtreatment.com,8-20,needs_verification,https://dallascounselingandtreatment.com/contact,https://www.linkedin.com/search/results/people/?keywords=Dallas%20Counseling%20and%20Treatment%20Center,not_contacted,send_touch_1,Potential design partner profile
CA,Center for Discovery and Wellness,San Diego,https://centerfordiscoveryandwellness.com,6-15,needs_verification,https://centerfordiscoveryandwellness.com/contact,https://www.linkedin.com/search/results/people/?keywords=Center%20for%20Discovery%20and%20Wellness%20San%20Diego,not_contacted,send_touch_1,Behavioral health orientation
CA,Westlake Village Counseling,Westlake Village,https://westlakevillagecounseling.com,8-20,needs_verification,https://westlakevillagecounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Westlake%20Village%20Counseling,not_contacted,send_touch_1,Multi-provider therapy group
CA,LA Concierge Psychologist Group,Los Angeles,https://laconciergepsychologist.com,5-10,needs_verification,https://laconciergepsychologist.com/contact,https://www.linkedin.com/search/results/people/?keywords=LA%20Concierge%20Psychologist%20Group,not_contacted,send_touch_1,Private practice operations complexity
CA,South Bay Counseling,San Jose,https://southbaycounseling.com,8-20,needs_verification,https://southbaycounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=South%20Bay%20Counseling%20San%20Jose,not_contacted,send_touch_1,Strong Bay Area fit
CA,Pacific Mind Health,San Francisco,https://pacificmindhealth.com,6-15,needs_verification,https://pacificmindhealth.com/contact,https://www.linkedin.com/search/results/people/?keywords=Pacific%20Mind%20Health,not_contacted,send_touch_1,Psych + therapy blend
CA,The Bay Area CBT Center,San Francisco,https://bayareacbtcenter.com,10-25,needs_verification,https://bayareacbtcenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Bay%20Area%20CBT%20Center,not_contacted,send_touch_1,Large enough for workflow ROI
CA,Clarity Therapy Associates,Los Angeles,https://claritytherapyassociates.com,5-12,needs_verification,https://claritytherapyassociates.com/contact,https://www.linkedin.com/search/results/people/?keywords=Clarity%20Therapy%20Associates%20Los%20Angeles,not_contacted,send_touch_1,Behavioral health clinical ops focus
CA,Orange County Health Psychologists Group,Irvine,https://healthpsych.com,8-15,needs_verification,https://healthpsych.com/contact,https://www.linkedin.com/search/results/people/?keywords=Health%20Psychologists%20Group%20Irvine,not_contacted,send_touch_1,Potential payer/compliance interest
FL,Panda Therapy Circle,South Florida,https://www.pandatherapycircle.com,5-12,likely_qualified,https://www.pandatherapycircle.com/contact,https://www.linkedin.com/search/results/people/?keywords=Panda%20Therapy%20Circle,not_contacted,send_touch_1,Known group practice positioning
FL,Psych Consultants Group,Weston,https://psychcgroup.com,6-15,likely_qualified,https://psychcgroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Psych%20Consultants%20Group%20Weston,not_contacted,send_touch_1,Mental health group messaging on site
FL,Palms Therapy Group,Northeast Florida,https://www.palmstherapygroup.com,5-10,likely_qualified,https://www.palmstherapygroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Palms%20Therapy%20Group,not_contacted,send_touch_1,Good regional target
FL,Delta Psychological Group,Aventura,https://www.deltapsychologicalgroup.com,6-15,needs_verification,https://www.deltapsychologicalgroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Delta%20Psychological%20Group%20Aventura,not_contacted,send_touch_1,Broad mental health services
FL,Lotus Counseling Center,Orlando,https://lotuscounselingcenter.com,8-15,needs_verification,https://lotuscounselingcenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Lotus%20Counseling%20Center%20Orlando,not_contacted,send_touch_1,Mid-size group practice fit
FL,Tampa Bay Therapist Group,Tampa,https://tampabaytherapistgroup.com,5-12,needs_verification,https://tampabaytherapistgroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Tampa%20Bay%20Therapist%20Group,not_contacted,send_touch_1,Potential quick ICP match
FL,Coral Gables Counseling Center,Miami,https://coralgablescounseling.com,6-12,needs_verification,https://coralgablescounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Coral%20Gables%20Counseling%20Center,not_contacted,send_touch_1,Admin intensity likely moderate
FL,Jacksonville Center for Counseling,Jacksonville,https://jacksonvillecenterforcounseling.com,8-20,needs_verification,https://jacksonvillecenterforcounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Jacksonville%20Center%20for%20Counseling,not_contacted,send_touch_1,Scaled group footprint candidate
NY,Full Spectrum Creative Arts Therapy,New York City,https://www.fullspectrumcat.com,6-12,likely_qualified,https://www.fullspectrumcat.com/contact,https://www.linkedin.com/search/results/people/?keywords=Full%20Spectrum%20Creative%20Arts%20Therapy,not_contacted,send_touch_1,Multi-disciplinary psychotherapists
NY,MCM Collaborative,New York City,https://mcmcollab.com,5-12,likely_qualified,https://mcmcollab.com/contact,https://www.linkedin.com/search/results/people/?keywords=MCM%20Collaborative%20NYC,not_contacted,send_touch_1,Group psychotherapy practice
NY,Liberation Psychotherapy,New York City,https://www.liberationpsychotherapy.com,5-10,likely_qualified,https://www.liberationpsychotherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Liberation%20Psychotherapy,not_contacted,send_touch_1,Boutique group with clear niche
NY,Strong In Therapy,New York City,https://www.strongintherapy.com,5-10,likely_qualified,https://www.strongintherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Strong%20In%20Therapy,not_contacted,send_touch_1,Boutique psychotherapy group
NY,The Q'Lective,New York City,https://www.theqlective.com,5-12,likely_qualified,https://www.theqlective.com/contact,https://www.linkedin.com/search/results/people/?keywords=The%20Q'Lective%20Therapy,not_contacted,send_touch_1,Group counseling collective
NY,Manhattan Therapy Collective,New York City,https://www.manhattantherapycollective.com,8-20,needs_verification,https://www.manhattantherapycollective.com/contact,https://www.linkedin.com/search/results/people/?keywords=Manhattan%20Therapy%20Collective,not_contacted,send_touch_1,Known group practice brand
NY,Union Square Practice,New York City,https://unionsquarepractice.com,8-15,needs_verification,https://unionsquarepractice.com/contact,https://www.linkedin.com/search/results/people/?keywords=Union%20Square%20Practice,not_contacted,send_touch_1,Psychotherapy + psychiatry model
NY,Williamsburg Therapy Group,Brooklyn,https://williamsburgtherapygroup.com,6-15,needs_verification,https://williamsburgtherapygroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Williamsburg%20Therapy%20Group,not_contacted,send_touch_1,Brooklyn group practice fit
IL,Chicago Compass Counseling,Chicago,https://www.chicagocompasscounseling.com,8-20,needs_verification,https://www.chicagocompasscounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Chicago%20Compass%20Counseling,not_contacted,send_touch_1,Multi-clinician counseling practice
IL,Urban Wellness Counseling,Chicago,https://urbanwellnesscounseling.com,10-25,needs_verification,https://urbanwellnesscounseling.com/contact,https://www.linkedin.com/search/results/people/?keywords=Urban%20Wellness%20Counseling%20Chicago,not_contacted,send_touch_1,Larger group; likely process-heavy
IL,North Shore Family Services,Skokie,https://northshorefamilyservices.com,5-12,needs_verification,https://northshorefamilyservices.com/contact,https://www.linkedin.com/search/results/people/?keywords=North%20Shore%20Family%20Services%20Skokie,not_contacted,send_touch_1,Family counseling demand
IL,Centered Therapy Chicago,Chicago,https://centeredtherapychicago.com,5-10,needs_verification,https://centeredtherapychicago.com/contact,https://www.linkedin.com/search/results/people/?keywords=Centered%20Therapy%20Chicago,not_contacted,send_touch_1,Small group likely within ICP
IL,Integrative Family Counseling,Chicago,https://ifctherapists.com,8-20,needs_verification,https://ifctherapists.com/contact,https://www.linkedin.com/search/results/people/?keywords=Integrative%20Family%20Counseling%20Chicago,not_contacted,send_touch_1,Good fit for scheduling/compliance workflows
IL,Arbor Counseling Center,Naperville,https://arborcounselingcenter.com,6-15,needs_verification,https://arborcounselingcenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Arbor%20Counseling%20Center%20Naperville,not_contacted,send_touch_1,Suburban group practice
IL,Lotus Wellness Center,Chicago,https://lotuswellnesscenter.com,5-12,needs_verification,https://lotuswellnesscenter.com/contact,https://www.linkedin.com/search/results/people/?keywords=Lotus%20Wellness%20Center%20Chicago%20therapy,not_contacted,send_touch_1,Behavioral health + therapy services
IL,Balance Health and Wellness,Chicago,https://balancehealthandwellness.org,6-12,needs_verification,https://balancehealthandwellness.org/contact,https://www.linkedin.com/search/results/people/?keywords=Balance%20Health%20and%20Wellness%20Chicago%20therapy,not_contacted,send_touch_1,Potential mid-market partner
TX,Frisco Counseling and Wellness,Frisco,https://friscocounselingandwellness.com,5-12,needs_verification,https://friscocounselingandwellness.com/contact,https://www.linkedin.com/search/results/people/?keywords=Frisco%20Counseling%20and%20Wellness,not_contacted,send_touch_1,Additional TX coverage
CA,San Francisco Stress and Anxiety Center,San Francisco,https://sfstress.com,8-20,needs_verification,https://sfstress.com/contact,https://www.linkedin.com/search/results/people/?keywords=San%20Francisco%20Stress%20and%20Anxiety%20Center,not_contacted,send_touch_1,Extra CA pipeline density
FL,Orlando Thrive Therapy Group,Orlando,https://orlandothrivetherapy.com,5-10,needs_verification,https://orlandothrivetherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Orlando%20Thrive%20Therapy%20Group,not_contacted,send_touch_1,Extra FL coverage
NY,Brooklyn Center for Mindfulness and Psychotherapy,Brooklyn,https://www.bcmptherapy.com,6-12,needs_verification,https://www.bcmptherapy.com/contact,https://www.linkedin.com/search/results/people/?keywords=Brooklyn%20Center%20for%20Mindfulness%20and%20Psychotherapy,not_contacted,send_touch_1,Extra NY coverage
IL,Evanston Behavioral Group,Evanston,https://evanstonbehavioralgroup.com,5-12,needs_verification,https://evanstonbehavioralgroup.com/contact,https://www.linkedin.com/search/results/people/?keywords=Evanston%20Behavioral%20Group,not_contacted,send_touch_1,Extra IL coverage
